id;pembuat;pasir;batu;air
2;Althaf;4;1;5
3;Achai;3;3;3
4;Achai;3;4;1
5;Shafa;1;1;1
6;jin_kuli;5;2;5
7;Genie;4;5;2
8;Albert;5;5;1
9;Asep;2;5;5
11;Achai;2;1;4
12;jin_kuli;3;4;5
13;Genie;2;2;1
14;Albert;1;5;1
15;Asep;1;2;1
17;Achai;4;3;1
18;jin_kuli;2;1;1
19;Genie;4;3;4
20;Albert;3;4;3
21;Asep;5;4;2
23;Achai;2;4;5
24;jin_kuli;1;3;2
25;Genie;1;3;2
26;Albert;4;4;4
27;Asep;3;4;2
29;Achai;3;2;2
30;jin_kuli;1;5;2
31;Genie;4;4;4
32;Albert;5;3;1
33;Asep;3;3;3
35;Achai;4;4;5
1;jin_kuli;3;5;1
10;Genie;2;1;1
16;Albert;3;5;5
22;Asep;4;2;2
28;Achai;2;2;5
34;jin_kuli;5;4;3
36;Genie;3;3;5
37;Albert;5;5;2
38;Asep;1;3;1
39;Achai;5;4;3
