id;pembuat;pasir;batu;air
2;Althaf;4;1;5
4;Achai;3;4;1
5;Shafa;1;1;1
6;jin_kuli;5;2;5
9;Asep;2;5;5
12;jin_kuli;3;4;5
15;Asep;1;2;1
18;jin_kuli;2;1;1
21;Asep;5;4;2
24;jin_kuli;1;3;2
27;Asep;3;4;2
30;jin_kuli;1;5;2
33;Asep;3;3;3
1;jin_kuli;3;5;1
22;Asep;4;2;2
34;jin_kuli;5;4;3
38;Asep;1;3;1
3;jin_kuli;1;1;2
7;Asep;4;4;3
8;adfoihasoihfiashd;2;4;4
10;jin_kuli;5;3;2
11;Asep;5;4;1
13;adfoihasoihfiashd;5;4;4
14;jin_kuli;1;5;4
16;jin_kuli;1;5;4
17;jin_kuli;1;5;4
19;jin_kuli;1;5;4
20;jin_kuli;1;5;4
23;jin_kuli;5;5;5
25;jin_kuli;4;4;3
26;jin_kuli;4;5;2
28;jin_kuli;3;4;3
29;jin_kuli;1;1;1
31;Asep;1;1;1
32;adfoihasoihfiashd;3;3;5
35;jin_kuli;2;5;1
36;Asep;3;2;5
37;adfoihasoihfiashd;2;2;5
39;jin_kuli;5;5;2
40;Asep;4;3;4
41;adfoihasoihfiashd;1;1;4
42;jin_kuli;4;2;5
43;Asep;1;5;3
44;adfoihasoihfiashd;4;1;5
45;jin_kuli;5;1;5
46;Asep;1;3;2
47;adfoihasoihfiashd;2;1;4
48;jin_kuli;3;2;5
49;Asep;4;3;4
50;adfoihasoihfiashd;1;1;1
51;jin_kuli;2;2;5
52;Asep;4;4;2
53;adfoihasoihfiashd;3;1;2
54;jin_kuli;5;5;2
55;Asep;3;4;3
56;adfoihasoihfiashd;1;1;1
57;jin_kuli;4;4;4
58;Asep;2;2;5
59;adfoihasoihfiashd;3;5;1
60;jin_kuli;3;4;4
61;Asep;1;1;1
62;adfoihasoihfiashd;1;3;2
63;jin_kuli;1;4;5
64;Asep;2;1;2
65;adfoihasoihfiashd;2;1;4
66;jin_kuli;1;4;3
67;Asep;5;3;4
68;adfoihasoihfiashd;4;5;4
69;jin_kuli;5;4;2
70;Asep;3;4;3
71;adfoihasoihfiashd;1;1;1
72;jin_kuli;5;5;2
73;Asep;5;3;4
74;adfoihasoihfiashd;2;2;4
75;jin_kuli;3;4;1
76;Asep;2;3;5
77;adfoihasoihfiashd;1;3;4
78;jin_kuli;1;1;1
79;Asep;2;5;3
80;adfoihasoihfiashd;3;3;3
81;jin_kuli;4;1;5
82;Asep;3;3;3
83;adfoihasoihfiashd;1;1;1
84;jin_kuli;3;4;1
85;Asep;4;2;1
86;adfoihasoihfiashd;3;3;3
87;jin_kuli;1;4;5
88;Asep;5;1;1
89;adfoihasoihfiashd;4;4;2
90;jin_kuli;4;3;3
91;Asep;1;3;2
92;adfoihasoihfiashd;5;5;5
93;jin_kuli;1;2;2
94;Asep;3;1;2
95;adfoihasoihfiashd;5;3;4
96;jin_kuli;3;5;4
97;Asep;5;5;5
98;adfoihasoihfiashd;5;2;1
99;jin_kuli;4;5;5
100;Asep;5;4;2
