id;pembuat;pasir;batu;air
2;Althaf;4;1;5
5;Shafa;1;1;1
3;jin_kuli;4;5;2
4;Genie;2;4;3
6;Albert;5;4;5
7;Asep;4;5;4
8;Althaf;5;2;4
9;Achai;5;5;5
10;kumpul1;4;2;1
11;kumpul2;1;1;4
13;kumpul4;1;4;5
14;kumpul5;3;4;4
15;jin_kuli;5;3;2
16;Genie;1;2;4
17;Albert;4;2;1
18;Asep;4;1;2
19;Althaf;3;1;2
20;Achai;5;1;1
21;kumpul1;3;4;1
22;kumpul2;1;5;3
24;kumpul4;4;4;2
25;kumpul5;2;2;4
26;jin_kuli;3;5;4
27;Genie;3;1;4
28;Albert;5;3;4
29;Asep;1;4;2
30;Althaf;3;1;2
31;Achai;2;3;2
32;kumpul1;2;2;4
33;kumpul2;4;2;3
35;kumpul4;5;2;3
36;kumpul5;2;5;1
37;jin_kuli;4;3;4
38;Genie;4;2;3
39;Albert;4;4;4
40;Asep;3;3;1
41;Althaf;2;4;5
42;Achai;4;4;4
43;kumpul1;5;1;1
44;kumpul2;3;4;1
46;kumpul4;3;5;4
47;kumpul5;1;1;4
48;jin_kuli;3;4;3
49;Genie;2;3;2
50;Albert;4;4;4
51;Asep;3;1;5
52;Althaf;4;1;5
53;Achai;3;2;2
54;kumpul1;3;1;2
55;kumpul2;4;5;2
57;kumpul4;4;3;1
58;kumpul5;3;2;3
59;jin_kuli;1;1;4
60;Genie;3;5;2
61;Albert;4;3;3
62;Asep;2;3;3
63;Althaf;5;1;1
64;Achai;3;5;4
65;kumpul1;1;1;1
66;kumpul2;5;4;2
68;kumpul4;1;4;5
69;kumpul5;1;3;2
70;jin_kuli;1;4;3
71;Genie;2;3;5
72;Albert;5;2;4
73;Asep;3;2;5
74;Althaf;5;3;4
75;Achai;4;3;1
76;kumpul1;4;3;4
77;kumpul2;4;1;3
79;kumpul4;3;5;4
80;kumpul5;3;4;4
81;jin_kuli;4;4;4
82;Genie;5;5;3
83;Albert;4;3;4
84;Asep;3;1;2
85;Althaf;4;5;2
86;Achai;2;4;5
87;kumpul1;1;5;3
88;kumpul2;3;1;2
90;kumpul4;5;1;3
91;kumpul5;2;2;5
92;jin_kuli;1;5;5
93;Genie;1;2;4
94;Albert;3;1;2
95;Asep;3;1;4
96;Althaf;2;4;3
97;Achai;1;2;4
98;kumpul1;1;2;4
99;kumpul2;5;3;2
12;jin_kuli;1;1;1
23;Genie;1;1;1
34;Albert;3;3;5
45;Asep;2;5;1
56;Althaf;3;2;5
67;Achai;2;2;5
78;kumpul1;5;5;2
89;kumpul2;4;3;4
